TURRTNT_FIX_INTTRTST_ARTA_LABTL	TURRTNT_FIX_START	TURRTNT_FIX_TND	取点	占比				
T	4471	4651					5570	0
T	4671	4929					5580	0
T	4939	5309					5590	0
T	5328	5365					5600	0
O	5441	5620					5610	1
O	5662	5846					5620	0
O	5859	5968					5630	0
T	6049	6230					5640	0
T	6255	6449					5650	0
T	6510	6707					5660	0
T	6726	7020					5670	0
T	7045	7643					5680	0
T	7708	7874					5690	0
T	7900	8099					5700	0
T	7	200					5710	0
T	255	404					5720	0
T	426	590					5730	0
T	620	1066					5740	0
T	1128	1447					5750	0
T	1471	1620					5760	0
T	1662	1765					5770	0
T	1914	2279					5780	0
T	2338	2428					5790	0
T	2495	2760					5800	0
T	3023	3224					5810	0
T	3278	3532					5820	0
O	3583	3700					5830	0
O	3724	4075					5840	0
O	4110	4352					5850	0
O	4370	4565					5860	0
O	4583	4810					5870	0
T	4872	4999					5880	0
T	5019	5498					5890	0
T	5545	5697					5900	0
T	5720	5904					5910	0
T	5925	6100					5920	0
T	6128	6450					5930	0
O	6496	6813					5940	0
O	7652	7805					5950	0
O	7831	8104					5960	0
O	7	100					5970	0
O	212	422					5980	0
T	462	709					5990	0
O	767	930					6000	0
O	954	1075					6010	0
T	1134	1399					6020	0
T	1434	1563					6030	0
O	1627	1813					6040	0
O	1871	2100					6050	0
O	2135	2328					6060	0
O	2378	2516					6070	0
T	2562	2748					6080	0
T	2780	3345					6090	0
O	3404	3742					6100	0
O	3809	4117					6110	0
O	4178	4362					6120	0
O	4422	4704					6130	0
O	4729	4977					6140	0
O	5004	5415					6150	0
O	5488	5747					6160	0
O	5769	5980					6170	0
O	6037	6345					6180	1
O	6373	6674					6190	0
O	6695	7052					6200	0
O	7240	7585					6210	0
O	7610	7839					6220	0
T	7862	7984					6230	0
O	7	257					6240	0
T	298	432					6250	0
T	458	685					6260	0
T	713	1220					6270	0
T	1242	1467					6280	0
T	1495	1954					6290	0
T	1972	2333					6300	0
T	2354	2874					6310	0
O	2907	3195					6320	0
O	3237	3383					6330	0
O	3427	3688					6340	0
T	3719	3933					6350	0
T	3960	4687					6360	0
T	4729	4894					6370	0
T	4927	5190					6380	0
T	5202	5679					6390	0
T	5699	6066					6400	0
T	6073	6367					6410	0
O	6429	6881					6420	0
O	6923	7096					6430	0
O	7117	7751					6440	0
O	7771	7956					6450	0
O	7970	8101					6460	0
O	7	141					6470	0
T	189	299					6480	0
T	1484	1664					6490	0
T	1689	1879					6500	0
T	2207	2528					6510	0
T	2560	2738					6520	0
T	2760	3122					6530	0
T	3194	3372					6540	0
T	3401	3651					6550	0
O	3718	3925					6560	0
T	3989	4421					6570	0
